Time,A (0%),B (10%),C (20%)
1,46.2,45.2,44.3
2,45.2,44.2,43.4
3,44.7,43.4,42.7
4,44.3,42.7,42.2
5,44,42.2,41.7
6,43.8,41.7,41.3
7,43.7,41.3,41.2
8,43.6,41.2,40.7
9,43.6,40.8,40.4
10,43.5,40.5,40
11,43.5,40.5,39.9
12,43.5,40.6,39.5
13,43.5,40.5,39.5
14,43.5,40.3,39.2
15,43.5,40.1,39
16,43.5,40,38.9
17,43.5,40,38.7
18,43.5,39.9,38.6
19,43.5,39.8,38.2
20,43.5,39.7,38.3
21,43.4,39.7,38.2
22,43.4,39.6,37.8
23,43.4,39.5,37.6
24,43.5,39.6,37.6
25,43.5,39.4,37.6
26,43.4,39.3,37.6
27,43.4,39.2,37.5
28,43.3,39.1,37.4
