Cart_Pin,Cart_Wax,,,
0.20150,0.18915,,,
0.20155,0.18910,,,
0.20152,0.18922,,,
0.20151,0.18915,,,
,,,,
m_p<m_w,,,,+100
,v_0,v_f,,
1,0.3948,0.1310,,
2,0.3781,0.1171,,
3,0.3266,0.1111,,
sigma,0.03554898,0.010208003,,
av,0.3665,0.119733333,,
%err,10%,8.5%,,
m_p=m_w,,,,"+50, +62"
,0.3419,0.1436,,
,0.3470,0.1385,,
,0.3440,0.1414,,
sigma,0.002563201,0.002557994,,
av,0.3443,0.141166667,,
%err,0.74%,1.8%,,
m_p>m_w,,,,+100
,0.2909,0.1466,,
,0.2644,0.12114,,
,0.2930,0.1501,,
sigma,0.015940619,0.015806872,,
av,0.282766667,0.13928,,
%err,5.64%,11.3%,,
